"Acer Extensa EX215-54-57LW, Intel i5-1135G7 İşlemci, 8GB RAM, 256GB SSD, 15.6 inç FHD Ekran, Intel® Iris® Xe Graphics, Eshell İşletim Sistemi","9.799,00 TL"
"Acer Chromebook Spin 314 CP314-1H-C5DL, Intel Celeron N4500, 8 GB RAM, 64 GB SSD, 14&#34; UHD Graphics, 2&#39;si 1 arada Katlanabilir Dokunmatik Ekranlı Dizüstü Bilgisayar, Chrome İşletim Sistemi","5.499,00 TL"
"Acer Nitro 5 AN515-46-R25Z, AMD Ryzen 5-6600H İşlemci, 8GB RAM, 512GB SSD, 15.6 inç FHD 144Hz Ekran, NVIDIA GeForce RTX 3050Ti 4GB Harici Ekran Kartı, Eshell İşletim Sistemi","17.599,00 TL"
"Acer Aspire 5 A515-57-59VS Dizüstü Bilgisayar, Intel i5-1235U İşlemci, 8 GB RAM, 512 GB SSD, 15.6&#34; WQHD Ekran, Intel® Iris® Xe Graphics, Free DOS","12.999,00 TL"
"Acer Aspire 5 A515-56G Dizüstü Bilgisayar, 15.6” FHD, Intel i5-1135G7, 8GB RAM, 512GB SSD, GeFORCE Nvidia MX 450 Harici 2GB Ekran Kartı, Free DOS, Gümüş","10.599,00 TL"
"Acer Aspire C24-1700 All-in-One Desktop,23.8&#34; FHD, Intel i5-1235U, 8 GB RAM, 512 GB SSD, Free DOS","12.499,00 TL"
"Acer Aspire 3 A315-56 Dizüstü Bilgisayar, 15.6” FHD, Intel i3-1005G1, 8GB RAM, 256GB SSD, Free DOS, Siyah","6.999,00 TL"
"Acer Aspire 7 A715-43G Dizüstü Bilgisayar, 15.6” FHD, Ryzen 5 5625U İşlemci, 8GB RAM, 512GB SSD, GeFORCE Nvidia RTX 3050 Harici 4GB Ekran Kartı, Free DOS, Siyah","15.699,00 TL"
"Acer Nitro 5 AN515-45 Dizüstü Bilgisayar, 15.6” FHD 144Hz, AMD Ryzen 5-5600H, 8GB RAM, 512GB SSD, GeFORCE Nvidia RTX 3050Ti Harici 4GB Ekran Kartı, Free DOS","16.999,00 TL"
"Acer Aspire 5 A515-47-R739, AMD Ryzen 5-5625U İşlemci, 8GB RAM, 512GB SSD, 15.6 inç FHD Ekran, Eshell İşletim Sistemi","9.499,00 TL"
"Acer TravelMate P2, TMP215-53G, Intel i5-1135G7 İşlemci, 8GB DDR4 RAM, 512GB SSD, 2 GB NVIDIA GeForce MX330 Ekran Kartı 15.6&#39;&#39; FHD, FreeDos, Siyah","10.499,00 TL"
"Acer ChromeBook Spin 511 R752T-C5Y6, Intel Celeron N4120, 8 GB RAM, 64 GB SSD, 11.6&#34; UHD Graphics 600, Katlanabilir Dokunmatik Ekran, Chrome İşletim Sistemi","4.799,00 TL"
"ACER Nitro AN515-45 AMD Ryzen 5 -5600H islemci 8GB DDR4 RAM 512GB SSD GeFORCE Nvidia 3050 Harici 4GB Ekran karti 15.6&#39;&#39; 144Hz Full HD Ekran, Free DOS, Siyah","16.499,00 TL"
ACER Nitro AN515-57 Intel I5 -11400H islemci 8GB DDR4 RAM 512GB SSD GeFORCE Nvidia RTX 3050 Harici 4GB Ekran karti 15.6&#39;&#39; 144Hz Full HD Ekran Windows 11 Home İşletim Sistemi,"16.999,00 TL"
"Acer Nitro 5 AN515-58-51U3, Intel i5-12500H İşlemci, 8GB RAM 512GB SSD, 15.6 inç 144hz Ekran, NVIDIA GeForce RTX 3050 4GB Harici Ekran Kartı, Eshell İşletim Sistemi","19.999,00 TL"
